query,document,label
¿Están cayendo las calificaciones de CNN?,Cupp: El escándalo de Porter es el fracaso del liderazgo CNN 1:38; Dakgalbi: la maravilla de Corea del Sur CNN 1:24; Schiff: No 'hará ninguna revisión' a la nota demócrata CNN 1:18; Los artistas de graffiti de 5Pointz recibieron $ 6.7 millones CNN 1:04; CNNMoney Markets Now CNN 1:33; El público israelí reacciona a las acusaciones de Netanyahu CNN 0:53; Los beneficiarios gemelos de DACA que intentan unirse al ejército reciben grandes noticias CNN 0:41,0
Sprint pagar por teléfono número de teléfono,"1 El engranaje saca un teléfono. 2 El engranaje dice una frase. 3 El engranaje marca un número en el teléfono. A medida que el engranaje presiona el número, los signos de almohadilla (#) saldrán del teléfono y atacarán al personaje objetivo, haciéndolo temblar.",0
cuánto tiempo se tarda en obtener una nota de débito en uop,"Sencillo. 1 Muestra de nota de Black Line Utilice este documento como un breve registro escrito como ayuda para la memoria: memorando, notación, nota. 2 Muestra de nota de degradado azul Diseño de nota simple con cuadros de degradado azul en el encabezado y pie de página. 3 Memo comercial de la barra lateral roja Diseño formal con una barra lateral de patrón en rojo y negro.",0
que son las ratas de agua,"Water Rats fue un programa de acción drama de la policía australiana, ambientado en Goat Island y sus alrededores, en el puerto de Sydney. El espectáculo pasó por los altibajos de los hombres y mujeres que trabajaban en la Policía del Agua de Sydney. Originalmente estaba protagonizada por Colin Friels y Catherine McClements, quienes hicieron del programa un gran éxito. Al final del programa en 2001, Steve Bisley, Aaron Pedersen y Dee Smart eran las estrellas principales del programa.",1
que tipo de arte hay en indonesia,"La tradición de hacer batik se encuentra en varios países, incluidos Indonesia, Malasia, Singapur, India, Sri Lanka, Filipinas y Nigeria; El batik de Indonesia, sin embargo, es el más conocido. En África, donde el batik fue importado originalmente por comerciantes holandeses de Indonesia (entonces las Indias Orientales Holandesas), se usa pasta hecha de almidón o barro como resistencia en lugar de cera. Las habilidades de teñido resistente más desarrolladas se encuentran en Nigeria, donde los yoruba hacen telas adire.",1
que es un plexo nervioso,"piel detrás de la oreja: occipital menor n. surge del plexo cervical: occipitalis tertius: rama dorsal primaria del nervio espinal C3 (br. medial) sin ramas nombradas: músculos posteriores del cuello: piel de la superficie posterior del cuello: los músculos inervados por este nervio se desarrollan a partir de epímeros en el embrión: rama, dorsal primaria",0
donde esta el laberinto en el cuerpo,"La diabetes tiene un efecto sustancial en el cuerpo. Saber cómo la diabetes afecta su cuerpo puede ayudarlo a cuidar su cuerpo y prevenir el desarrollo de complicaciones diabéticas. La diabetes afecta nuestros vasos sanguíneos y nervios y, por lo tanto, puede afectar cualquier parte del cuerpo. Sin embargo, ciertas partes de nuestro cuerpo se ven más afectadas que otras.",0
quien es dueño de cibc,"Inicio Acerca de la propiedad de INTRIA. INTRIA es una subsidiaria de propiedad absoluta de CIBC (TSX, NYSE: CM). CIBC es una institución financiera líder en Canadá con una capitalización de mercado de $ 30,1 mil millones y un índice de capital de nivel 1 del 14,7%. Tiene tres negocios principales: banca comercial y minorista, gestión patrimonial y banca mayorista, centrados en Canadá y en todo el mundo.",1
para que se utilizan los lingotes de aluminio,"Historia y usos: Aunque el aluminio es el metal más abundante en la corteza terrestre, nunca se encuentra libre en la naturaleza. Todo el aluminio de la tierra se ha combinado con otros elementos para formar compuestos.",0
¿Cuánto cuesta perforarse las orejas en casa de Claire?,"¿Cuánto cuesta perforarse las orejas de Claires? 10, creo, pero es asqueroso, mi amiga se hizo el suyo la otra semana allí y ya está infectado. Editar",1
sinónimos de salient,"Cuando piense en Logitech Vid, piense en una versión de Skype más fácil de usar con una calidad superior. La razón más destacada del veredicto de facilidad de uso proviene del simple hecho de que eliges a las personas con las que chatear por su correo electrónico y una foto que toman cuando se registran, no un nombre de pantalla potencialmente oscuro.",0
significado de sentencia por defecto como disposición,"Publicación 21. El argumento que presenta es válido, pero su definición de ética y moral se invierte. La ética se deriva del griego: Ethos, que significa carácter o disposición personal, mientras que la palabra moral se deriva del latín Mos, que significa costumbre. Por lo tanto, debería argumentarse que la ética es la capacidad del individuo para determinar entre el bien y el mal, mientras que la moral son los valores sociales colectivamente.",0
es el plexo todo natural,"Tamaño de fuente. A. A. A. Los bloqueos nerviosos se utilizan para el tratamiento y el control del dolor. A menudo, un grupo de nervios, llamado plexo o ganglio, que causa dolor en un órgano o región específica del cuerpo, puede bloquearse con la inyección de un medicamento en un área específica del cuerpo.",0
qué tres enmiendas se hicieron durante la reconstrucción,"Miraron por el borde del techo. La tela estaba deshilachada en el borde. Nos puso a todos nerviosos al estar tan cerca del borde del acantilado. Se sentó en el borde del mostrador, balanceando las piernas. el borde de un hacha. Su voz tenía un tono sarcástico. Estas enmiendas embotarán el borde de la legislación.",0
diseño web que es una base de datos,"Diseño web basado en bases de datos. Las bases de datos están en el corazón de los sitios web dinámicos de hoy. Las bases de datos almacenan información y la envían a su sitio a los visitantes de su sitio sobre la marcha a través de cualquier número de lenguajes de programación o scripting web. A continuación, se incluyen algunas preguntas y respuestas frecuentes sobre sitios web dinámicos basados en bases de datos.",1
¿Cuál fue el propósito del plan de reconstrucción presidencial?,"La técnica de reconstrucción tridimensional requiere que el escultor coloque marcadores de tejido en el cráneo en puntos específicos para que cuando se coloque la arcilla, la reconstrucción se vea lo más cerca posible de la víctima para que haya una mejor posibilidad de que la víctima sea identificada.",0
¿Qué causa el estreñimiento severo después de comer chocolate amargo?,"E incluso cuando comemos unas galletas con chispas de chocolate realmente húmedas. Estas cookies en particular fueron más que excepcionales. Un ligero sabor a coco, con bordes crujientes y crujientes, charcos de rico chocolate negro, la cantidad justa de dulzura y la masticación perfecta. Nos sentamos con algunos antes de ver la nueva película de Dr. Strange.",0
¿Se puede usar ciprofloxacina para tratar la neumonía?,La neumonía por micoplasma es un tipo de neumonía atípica. Es causada por la bacteria M. pneumoniae. A menudo afecta a personas menores de 40 años. La neumonía debida a la bacteria clamidia ocurre durante todo el año. Suele ser leve. La neumonía por ycoplasma es un tipo de neumonía atípica. Es causada por la bacteria M. pneumoniae. A menudo afecta a personas menores de 40 años. La neumonía debida a la bacteria clamidia ocurre durante todo el año. Suele ser leve.,0
¿Qué es el término trampa?,1 Deje caer la trampa para cangrejos con la abertura de la caja de cebo en la parte inferior. 2 También asegúrese de que las aberturas de la trampa para cangrejos estén en la misma dirección en la que va la corriente. 3 Deje reposar la trampa para cangrejos durante al menos 24 horas. 4 Luego verifíquelo y siga las regulaciones del cangrejo de piedra de Florida que se encuentran aquí. Suelta la trampa para cangrejos con la abertura de la caja de cebo en la parte inferior. 2 También asegúrese de que las aberturas de la trampa para cangrejos estén en la misma dirección en la que va la corriente. 3 Deje reposar la trampa para cangrejos durante al menos 24 horas. 4 Luego verifíquelo y siga las regulaciones del cangrejo de piedra de Florida que se encuentran aquí.,0
cuántos miembros votantes hay en la cámara de representantes,"Hay 435 representantes en la Cámara, en comparación con 100 senadores en el Senado. Este es el número alcanzado cuando se agregaron nuevos asientos en 1913, y el número fue bloqueado por la Ley de Redistribución de 1929. De 1959 a 1963, hubo temporalmente 437 asientos. Hay otros 6 delegados sin derecho a voto.",0
¿Los anticonceptivos de progesterona ayudan al dominio del estrógeno?,"A partir de la vigésimo cuarta semana de embarazo (segundo y tercer trimestres), el cuerpo de la mujer produce hormonas que estimulan el crecimiento del sistema de conductos lácteos en los senos: 1 La progesterona influye en el crecimiento de tamaño de los alvéolos y lóbulos; altos niveles de progesterona inhiben la lactancia antes del nacimiento. Los niveles de progesterona bajan después del nacimiento; esto desencadena el inicio de una abundante producción de leche. El estrógeno estimula el crecimiento y la diferenciación del sistema de conductos lácteos. Al igual que la progesterona, los altos niveles de estrógeno también inhiben la lactancia.",0
cuales son cuatro goles de fbla,"La mesa directiva es responsable de establecer las políticas del distrito, supervisar el presupuesto y contratar despedir al superintendente. La mesa directiva y el superintendente trabajan juntos para establecer metas para el distrito, y luego el superintendente debe asegurarse de que se cumplan las metas.",0
que es una au pair,"¿Qué es una Au Pair? ¡Una au pair es un adulto joven de otro país que vive con su familia durante un año y proporciona cuidado de niños en casa (como una niñera, pero mejor)! Las au pairs trabajan hasta 45 horas a la semana, a cambio de la oportunidad de vivir con una familia estadounidense.",1
cuánto gana el pediatra al año,"Salario del pediatra del desarrollo. El salario promedio de un pediatra del desarrollo es de $ 96,541, el salario promedio es de $ 85,000 con un rango de salario de $ 85,000 a $ 120,120. Los salarios del pediatra del desarrollo se recaudan de agencias gubernamentales y empresas. Cada salario está asociado con un puesto de trabajo real. Las estadísticas de sueldos de los pediatras del desarrollo no son exclusivas y son solo de referencia. Los sueldos de los pediatras del desarrollo se obtienen de las agencias y empresas gubernamentales. Cada salario está asociado a un puesto de trabajo real. Las estadísticas de salario de los pediatras del desarrollo no son exclusivas y son solo para referencia.",0
causas de comer compulsivamente,"Comer en exceso o comer alimentos que se sabe que contribuyen a la hinchazón y los gases, como el repollo, los frijoles y las lentejas, puede causar hinchazón. La hinchazón abdominal puede afectar el diafragma, una división muscular entre el pecho y el abdomen. El diafragma ayuda a respirar, lo que significa que la hinchazón puede provocar dificultad para respirar.",0
sinónimos de zuecos,"1 Después de completar cada proceso de preparación, deseche la taza K usada. 2 Cada pocos días, ejecute un ciclo de preparación sin KCup para enjuagar la máquina con agua corriente. 3 Esto ayudará a prevenir obstrucciones y mantendrá su café Keurig con un sabor fresco.",0
para que se usa el aceite de copaiba,"V6 **. 1 Una fórmula patentada de Young Living que combina aceite de coco fraccionado, aceite de semilla de uva, aceite de almendras dulces, aceite de germen de trigo (contiene mucha vitamina E y actúa como conservante natural), aceite de girasol y aceite de oliva. 2 Hidrata y nutre la piel. 3 Un excelente aceite portador para todos sus mejores aceites esenciales y aplicaciones.",0
lo que dice la ley el proceso legal es desalojar,"Respuesta rápida. La edad legal para mudarse en Colorado es 18. En raras ocasiones, a los menores se les puede permitir mudarse antes en un proceso legal llamado emancipación. Como no existe una causa de acción específica para la emancipación bajo la ley de Colorado, ocurre solo junto con otra acción legal. Sigue leyendo.",0
¿Se puede usar ciprofloxacina para tratar la neumonía?,"La forma más común de neumonía es la neumonía adquirida en la comunidad, que es cuando se contrae una infección fuera de un hospital. El tratamiento depende de si las bacterias, virus u hongos están causando su neumonía.",0
propósito del período de reconstrucción,"¿Qué dos líderes supervisaron lo que se considera el Período de Reconstrucción de la historia de México, un período que siguió a la Revolución Mexicana? A. Pancho Villa y Pascual Orozco B. Porfirio Díaz y Emiliano Zapata C. Álvaro Obregón y Plutarco Calles D. Venustiano Carranza y Victoriano Huerta.",0
¿Cuánto cuesta ejecutar 400 vatios hps?,"Los barcos de quilla eran los. forma más común de viajar por el río hasta el. mediados del siglo XIX cuando el más rápido. y se ganaron barcos de vapor más poderosos. popularidad. En 1769, un escocés llamado James. Watt inventó un motor que funcionaba. vapor.",0
definición de derecho transnacional,Definición de LEY DE PEQUEÑOS NÚMEROS: Juicio sesgado asumiendo que un pequeño número de observaciones o puntos de datos pueden predecir el resultado de una muestra de población más grande. Consulte también la ley de gran tamaño The Law Dictionary Featuring Black's Law Dictionary Free Online Legal Dictionary 2nd Ed.,0
¿Qué es la trampa inesperada del modo kernel?,"West también dio la bienvenida a una cara relativamente desconocida en el escenario: Fetty Wap, la sensación del rap de 24 años, que interpretó su vertiginoso sencillo de rap Trap Queen en el concierto. La inesperada actuación de Wap tenía a West radiante en el escenario, Jay Z y Beyonce bailando entre la audiencia, y miles de espectadores en el programa y en la transmisión en vivo preguntando: ¿Quién es este tipo?",0
¿Qué está haciendo realmente la replicación del ADN?,"La replicación del ADN es el proceso mediante el cual se producen dos piezas idénticas de ADN a partir de una pieza original de ADN. Este proceso asegura que las nuevas células que se crean contengan exactamente la misma información que la célula original. Primero, es necesario recordar la estructura del ADN para comprender el proceso de replicación. Recuerde que la molécula es de doble hebra y que esas hebras son antiparalelas. el uno al otro. Puede ver esto en el video por los extremos principales etiquetados. En primer lugar, debe recordar la estructura del ADN para comprender el proceso de replicación. Recuerde que la molécula es de doble hebra y que esas hebras son antiparalelas entre sí. Puede ver esto en el video por los extremos principales etiquetados.",0
¿Por qué los miembros del Segundo Congreso Continental creían que era necesario un contrato que uniera a los nuevos estados independientes?,"En 1847, Liberia se convirtió en una república totalmente independiente. El mismo año se estableció una constitución liberiana, inspirada en la de Estados Unidos, y Joseph Jenkins Roberts, un hombre negro, se convirtió en el primer presidente oficial del país recién independizado.",0
población de residencia de wytheville,"Hasta ahora, esta residencia supera todas mis expectativas, explicó Stephen Winfield, MD, uno de los cuatro residentes de medicina familiar de la Red de salud de UVM. CVPH Residencia en Medicina Familiar. Originario de la Isla del Príncipe Eduardo, Canadá [...]",0
